pdbid,-logKd/Ki,release_year
3r5t,8.58,2012
2f1g,7.54,2006
4zv1,5.24,2016
2jh5,6.44,2007
1a9q,6.17,1998
1qan,4.48,2000
2v2v,4.07,2007
4q7v,3.59,2015
6gj8,5.87,2019
3pcj,7.22,1998
4m0f,8.77,2013
4gqq,2.89,2012
3znr,7.44,2013
8cpa,9.15,1994
1szd,4.54,2004
1ghw,4.2,2002
6fui,4.46,2018
5aan,4.15,2017
1njd,5.57,1996
4ibf,4.43,2014
4ocq,4.61,2014
3r6u,4.52,2011
3rm9,4.77,2011
4zx0,8.0,2015
1d4j,8.36,2002
5ikb,8.72,2016
4l19,6.1,2014
5cqt,6.91,2016
2gyi,7.0,1995
1ndv,5.92,2003
3d0b,6.54,2008
4elf,8.03,2013
2f94,6.71,2006
1o2h,7.17,2003
2wor,3.9,2009
2yix,8.48,2011
4rd0,6.62,2015
6gjj,3.7,2018
2f34,6.89,2006
6o5g,5.7,2019
5ey0,2.65,2016
5oh4,4.55,2018
2wed,6.1,1998
3qt6,5.37,2011
6h1d,5.6,2019
3o5n,4.76,2011
6g6t,7.7,2019
3b3s,2.55,2007
6pgc,5.35,2019
5m17,3.66,2017
5fsx,2.72,2016
5vc3,7.11,2017
3da9,5.51,2009
3qdd,8.77,2012
4iic,4.85,2013
1jmf,5.77,1998
1hvh,7.96,1998
6e9a,11.92,2018
2fgu,9.18,2006
2xd9,6.46,2010
1b52,7.12,1999
4pv5,6.54,2015
4xk9,9.07,2015
5nkc,7.72,2017
2afx,5.15,2005
2vk6,5.3,2008
3ipu,7.32,2010
4fys,4.82,2012
5mqe,5.4,2017
6d18,5.85,2019
2p4j,8.96,2007
3s0d,7.05,2011
1gno,7.7,1996
3cd7,7.84,2008
6epy,6.46,2018
1usn,7.74,1998
1q54,5.85,2003
4mq6,6.47,2014
3n9s,5.26,2010
4y3y,2.35,2016
4q1y,10.35,2015
3ikd,6.75,2009
1ajv,7.72,1997
1izi,6.59,2002
3t84,6.97,2011
6d1g,4.47,2019
6ajy,5.28,2019
2hnc,7.22,2006
3d91,9.15,2008
4c9x,7.32,2014
5aoi,3.03,2015
5czm,8.32,2016
2vrj,6.3,2008
3ryy,7.42,2011
1ela,6.36,1994
5lso,5.85,2016
6oqd,9.85,2019
5x54,5.0,2017
5twj,5.25,2017
1rr6,10.25,2005
5ewa,4.82,2016
6pi5,6.96,2019
3jrx,9.0,2010
4x6o,8.72,2015
1q72,6.85,2003
3g1v,3.19,2009
2vpe,4.94,2008
2q38,5.23,2007
6d1d,4.47,2019
4m8y,9.96,2014
2std,9.85,1999
4nku,4.67,2013
3mi3,5.45,2010
2x95,4.95,2010
5mnn,3.84,2018
6cjv,5.66,2018
3ffp,7.14,2009
2wyf,4.43,2010
5j3l,4.8,2017
3tcg,5.87,2011
5os5,3.39,2017
3str,8.4,2011
4bck,8.4,2013
5u13,5.41,2017
3i3b,2.23,2010
1rd4,7.74,2004
5vyy,6.21,2018
4rqk,5.82,2014
3tb6,5.08,2012
