pdbid,-logKd/Ki,release_year
1bnw,9.08,1999
6hr2,7.0,2019
4n6g,5.47,2014
3hv8,6.98,2009
3s5y,7.41,2012
5ih9,8.7,2016
5wbm,4.7,2017
5bw4,4.17,2016
1mfd,5.31,1994
1i5r,8.52,2003
5boj,7.0,2015
2avm,5.7,2006
2wlz,4.6,2010
3zt3,2.86,2012
1lhu,8.83,2002
3ljo,6.62,2010
6h29,5.62,2018
1g30,6.85,2001
4ybk,7.82,2016
1f74,3.05,2000
1jsv,5.7,2001
1e1x,5.89,2001
5vd2,7.1,2017
4m2u,8.04,2013
3sr4,6.54,2011
4emf,7.08,2012
6g9u,6.43,2018
2aod,5.66,2006
3qps,5.6,2011
6faf,6.51,2018
1xpz,7.08,2005
6b4u,7.68,2017
6bm6,4.68,2018
6g27,3.14,2019
2bz6,7.09,2006
1rpj,6.48,1999
4ca6,6.74,2013
4poh,8.0,2014
6i8t,5.75,2019
5ivc,5.92,2016
6qmk,7.46,2019
2y5g,6.84,2011
3ff3,3.57,2009
2i6b,7.17,2007
2jf4,8.15,2007
4f6u,6.15,2013
6ht1,7.11,2018
5nze,6.39,2018
4b6r,5.85,2012
1o2h,7.17,2003
5mgk,4.0,2017
1ew8,2.26,2002
1jq8,6.0,2002
6dar,6.66,2018
4b35,2.89,2013
5hbs,7.73,2016
4tjz,5.97,2015
1gjc,6.35,2002
6d78,8.74,2019
6cjs,9.7,2019
1qbs,9.47,1997
4isu,3.68,2013
3kmc,6.4,2009
6dif,10.72,2018
5e2l,4.03,2016
4qjw,7.8,2015
6fni,8.22,2018
6got,9.4,2018
4buq,8.14,2014
6ibk,3.29,2019
3zk6,6.34,2013
3dne,5.22,2009
4gkh,4.67,2012
1ydb,8.24,1995
3fvk,8.82,2010
5sym,6.55,2016
3f7h,7.09,2009
1lan,7.22,1995
3q44,6.31,2011
3bqc,5.73,2008
5vsj,4.02,2017
1upf,4.6,1999
1bma,4.59,1995
4io4,4.61,2013
5xsr,7.69,2018
6ajv,5.04,2019
5n1s,7.99,2017
6mj7,2.82,2018
4z2b,7.76,2015
5orh,4.39,2018
6c7x,7.19,2018
2yz3,6.66,2008
1b4h,5.46,1998
5l4i,6.59,2016
6iiu,7.96,2018
1lah,7.52,1995
5edl,8.35,2016
5ty9,5.21,2017
1yc4,6.55,2005
6e5l,7.18,2019
3lxe,6.6,2010
1o0m,5.15,2003
5c1w,5.06,2015
6mlg,5.05,2019
1pkx,6.92,2004
1yda,6.55,1995
2xpk,11.3,2011
1nw5,5.21,2003
3hek,8.27,2009
3ms9,5.22,2010
5fe9,4.68,2016
1hvr,9.51,1995
4c1y,3.6,2014
3su0,6.79,2012
3suw,4.7,2012
4cr5,4.15,2015
2nmz,8.37,2007
3pwm,9.1,2011
5csp,4.24,2016
6qe5,5.12,2019
3ekx,9.41,2009
186l,4.85,1995
5otr,4.92,2018
1pyn,5.49,2003
3rux,9.28,2011
1hmr,6.55,1995
3sut,7.85,2012
10gs,6.4,1998
3ru1,4.85,2011
3ug2,8.25,2012
2aqu,9.32,2006
1odj,4.1,2003
4ibg,3.97,2014
4kax,4.77,2013
2vhj,3.9,2007
1v48,7.8,2004
2cn0,7.66,2006
2q54,9.01,2007
6ayi,6.68,2017
5ji8,4.63,2016
1v2l,4.29,2004
5mge,4.06,2017
2wl0,7.8,2009
5u28,7.17,2017
6mle,9.0,2019
6j9y,5.07,2019
3l59,3.7,2010
5j2x,7.74,2017
3d50,4.77,2008
4z84,5.82,2015
2uwl,8.4,2007
4aj4,3.89,2012
4j45,5.77,2013
3mho,6.49,2010
4nyf,7.31,2014
1ghw,4.2,2002
3uyr,6.9,2012
4nnr,7.26,2014
4kxn,6.1,2014
3nuj,9.39,2010
4nxu,5.54,2013
4q90,2.15,2015
4mrg,2.96,2014
3pgl,5.3,2011
3pe1,9.65,2011
3ijh,4.0,2009
5za7,5.87,2018
4g0z,2.21,2012
4l9i,4.89,2014
1ikt,3.4,2001
4ayu,4.73,2013
1om1,6.77,2004
4u6w,4.21,2015
3hvi,8.3,2009
1hps,9.22,1994
3zbx,8.22,2013
4pp0,4.4,2014
3bbf,5.28,2008
5ka7,4.35,2017
4uja,9.05,2016
4isi,8.14,2013
1xt8,6.85,2005
4ge1,6.43,2013
3tao,5.14,2011
3jrs,4.28,2009
2xbw,8.0,2010
3vfb,9.04,2012
2f80,8.18,2006
1add,6.74,1994
6ebe,6.7,2018
6i13,5.12,2019
2a4m,4.52,2005
4q4s,6.95,2014
3u81,4.44,2012
4zow,4.12,2015
2xeg,10.7,2010
2q88,5.8,2008
1j4r,7.72,2001
1rbp,6.72,1991
6eyt,5.72,2018
4x48,6.77,2015
1nz7,7.12,2003
4ca7,7.36,2013
4o97,8.52,2014
4ibb,3.57,2014
1x39,9.22,2005
5cep,6.84,2015
3b25,6.07,2011
6dq4,4.92,2018
3qw5,6.45,2012
3tif,5.38,2012
3hb4,9.05,2009
6gfz,5.51,2018
4gr8,7.83,2013
6dh8,9.84,2018
3b7r,7.7,2008
3wjw,3.87,2013
1uho,9.22,2004
3bxe,5.48,2008
1tcx,6.95,1996
1hk4,5.31,2003
2q5k,11.3,2007
1w5w,8.8,2004
2xyt,6.29,2011
3umq,4.62,2012
1v11,3.98,2004
5mwp,7.5,2018
6eeb,5.3,2019
2b1i,6.82,2006
5vb6,6.37,2017
6ghh,6.71,2018
5kly,7.21,2017
1ebw,9.05,2002
1v2u,3.37,2004
5win,7.03,2018
5yas,3.26,1999
2ewb,6.1,2006
6d1i,4.09,2019
4yo8,10.52,2015
5j6m,8.57,2017
6mlo,6.1,2019
3hky,7.1,2010
4gqp,9.6,2013
3mof,3.07,2010
3zj6,6.66,2014
2jkh,8.05,2009
4i5c,8.82,2013
1u33,4.6,2004
2uyn,2.7,2007
3gst,6.72,1993
1w3j,6.32,2004
4ejl,5.14,2013
3b3c,3.98,2007
6gue,8.4,2018
4dcs,5.1,2012
1nm6,10.05,2003
1qxk,5.05,2003
3d7k,4.6,2008
2wos,3.9,2009
2vt3,4.15,2008
2csn,4.41,1996
2bfr,5.25,2004
4avj,7.44,2012
6cpa,11.52,1991
5e2o,8.7,2015
4rr6,6.0,2015
1duv,11.8,2000
2pyn,7.57,2008
5cs3,2.15,2015
4fht,6.17,2013
3be9,7.62,2008
5mes,6.47,2017
1hms,6.37,1995
6r1w,5.3,2019
2xjx,9.15,2010
3std,11.11,1999
5ov8,4.74,2018
6jaw,5.66,2019
2pql,7.28,2007
5ufs,8.49,2017
3l4u,7.52,2010
6qls,5.35,2019
3k02,5.0,2010
5o4f,6.68,2017
6fui,4.46,2018
5ueu,7.78,2017
5t9z,7.19,2017
1qbu,10.24,1997
3buh,3.66,2008
5ihh,6.41,2016
1ftm,7.61,2000
3c89,6.07,2008
3miy,7.68,2010
2cej,8.62,2007
4wkb,11.57,2015
3acx,5.7,2010
3mhl,7.25,2010
1fq5,8.4,2000
3b3w,4.19,2007
4m6u,2.74,2014
6g9i,3.93,2018
4flp,6.72,2012
1k1n,6.82,2001
3l3n,8.18,2010
1fkb,9.7,1993
3m35,7.22,2010
4ca8,6.68,2013
2ot1,4.0,2007
5upz,9.2,2017
3u90,4.62,2012
5om2,4.06,2018
6cpw,8.25,2018
4z83,7.4,2015
4m2v,7.44,2013
5dnu,4.11,2016
3l4w,6.0,2010
2o4z,6.25,2007
5mlj,8.85,2017
3fql,7.15,2009
6pi6,5.66,2019
5wa8,6.23,2017
5ljq,9.0,2017
3buf,3.1,2008
3tt4,8.28,2012
2wnj,6.48,2009
4qfn,4.12,2015
4f0c,6.27,2013
1ado,6.0,1997
4wrb,6.19,2015
3t2q,3.66,2012
6ckr,7.3,2018
4pft,8.64,2014
4rlt,4.96,2015
5ia4,7.28,2016
2x0y,4.6,2010
5i1q,7.92,2016
6qr3,6.44,2019
6d9s,5.96,2019
5g5f,5.28,2017
4fys,4.82,2012
4up5,2.6,2014
1drv,6.54,1997
2qi3,10.2,2008
1hyo,4.07,2001
5xpi,5.28,2018
