pdbid,-logKd/Ki,release_year
1flr,10.0,1995
4yx4,5.97,2016
6exs,3.44,2018
1w11,8.22,2008
2pvl,7.62,2008
5vja,6.59,2018
1hmr,6.55,1995
3czv,7.8,2008
1bxq,7.38,1998
6i14,5.82,2019
2epn,7.22,2008
6ftw,6.49,2019
4whs,4.12,2014
4b32,3.34,2013
1m0q,3.89,2002
3qw5,6.45,2012
5ev8,5.22,2016
2f80,8.18,2006
1sdu,10.07,2004
6cwn,6.65,2018
2x91,6.74,2010
2ceq,7.28,2006
1nja,6.31,1996
1fcx,7.19,2000
2vyt,2.74,2008
3ryv,7.07,2011
3u92,7.48,2012
5aml,9.15,2015
5fhn,5.9,2016
1ex8,6.33,2001
1gaf,8.0,1996
5uov,10.6,2017
3t82,7.0,2011
5fnc,4.11,2016
2jf4,8.15,2007
5h8g,10.32,2016
1kv1,5.94,2002
4msa,3.3,2014
3nxq,8.15,2010
1h6h,5.3,2001
6kjd,5.05,2019
2jgs,6.62,2008
5tb6,5.82,2016
3g30,2.51,2009
4jpx,5.15,2013
2j95,8.4,2007
5ei3,4.25,2016
3rlp,7.08,2011
1fkn,8.8,2000
4xaq,7.14,2015
5x54,5.0,2017
3o9e,11.3,2011
2oxd,6.82,2007
3l4z,6.72,2010
3fh7,7.6,2010
2cle,3.55,2007
4ngm,10.35,2014
5byi,7.51,2015
4m8h,7.6,2014
2j4i,9.0,2006
4av5,7.21,2012
5k9w,4.59,2017
5tmp,7.47,1998
6qlt,4.04,2019
6d1d,4.47,2019
2c97,6.14,2006
1d4k,9.22,2000
5efa,4.83,2015
3lzu,10.06,2010
4zeb,6.52,2015
5os8,3.98,2018
5eq1,4.68,2016
4bcs,6.99,2013
2bys,9.52,2005
6mja,7.85,2019
4qer,7.54,2014
1ai5,3.72,1997
1m48,5.09,2002
5oei,5.8,2017
2w9h,6.37,2009
4x6o,8.72,2015
3bug,3.18,2008
6pvv,5.85,2019
2gkl,5.35,2007
1hxb,9.92,1997
6ets,5.64,2019
4tu4,3.76,2014
3q2j,4.18,2011
1tsy,4.96,1996
3b50,7.55,2007
1xkk,8.52,2004
1w5x,8.4,2004
5jsg,4.85,2017
6g7a,6.78,2019
1eb2,6.01,2002
4jfk,6.44,2013
6q3y,7.27,2019
1ez9,5.1,2002
4in9,4.97,2013
2j77,4.89,2006
5dxt,9.7,2016
1gi1,5.47,2002
1zsf,9.92,2006
4q1w,11.7,2015
3f5j,4.28,2009
6eed,6.09,2018
4tkj,6.04,2015
4z93,7.35,2015
4i72,9.05,2013
3s71,8.64,2011
3t1m,3.04,2011
4bco,6.88,2013
1e5j,4.0,2001
3o9p,6.52,2011
1i5r,8.52,2003
6cze,4.03,2018
4o6w,8.52,2014
3kiv,4.7,1999
6rfn,6.7,2019
1tnh,3.37,1994
1c70,10.3,2000
2qi6,10.57,2008
4br3,5.72,2013
3zyf,4.85,2011
4urz,2.52,2015
6g35,7.76,2018
5n34,4.63,2017
6nmb,2.7,2019
5kr2,8.48,2016
3tfu,3.28,2011
5tya,4.48,2017
4kp5,6.08,2013
1gno,7.7,1996
5fe7,3.31,2016
2wed,6.1,1998
4ge1,6.43,2013
1bn1,9.34,1999
1pr5,3.92,2003
4d8z,6.29,2012
6o9c,7.55,2019
4lyw,6.63,2014
3str,8.4,2011
4nxv,5.42,2013
3kdm,7.0,2010
4cpt,7.7,2014
3b4p,5.4,2008
5l7e,6.6,2016
4cg8,6.96,2014
3a6t,7.28,2009
1hk4,5.31,2003
3t5u,7.59,2012
2yix,8.48,2011
3uxd,4.41,2012
2v77,5.06,2008
3pbb,7.02,2011
5hva,7.07,2016
3d1z,8.8,2008
5uk8,6.4,2017
5u0f,5.47,2017
2pow,7.2,2007
5o4f,6.68,2017
3t1a,8.37,2011
6d1h,3.72,2019
1azm,6.1,1994
2pwg,4.82,2007
5czm,8.32,2016
5bs4,11.0,2015
5c1w,5.06,2015
2pym,6.82,2008
4yzu,5.05,2015
5fns,5.4,2016
5d26,6.09,2016
5z7j,6.6,2018
5m9w,2.24,2017
3djp,4.2,2009
5d3l,6.06,2016
2ans,5.92,1999
5eh7,3.48,2016
2e27,9.35,2007
4r4c,5.54,2014
6p3t,7.32,2019
2q2a,7.41,2008
3o84,7.24,2010
1ppi,5.01,1995
5fe9,4.68,2016
2nnd,6.06,2007
1b32,7.1,1998
3gvu,8.0,2009
5f61,7.46,2017
6g2e,5.01,2019
6cjs,9.7,2019
4rqv,5.05,2014
5u6j,7.64,2017
5fh7,6.86,2016
6qqz,6.74,2019
6g2f,5.17,2019
188l,3.33,1995
2nta,4.8,2007
4mmm,3.82,2014
2q1q,8.15,2007
3ujd,4.69,2011
2wos,3.9,2009
3nes,5.62,2010
2zq2,6.56,2009
6bm5,5.84,2018
1uz4,3.4,2004
4hpi,4.85,2013
4crl,9.71,2015
4kb9,11.0,2013
6quv,3.0,2019
4exs,4.41,2012
6f9g,5.7,2018
4rd3,6.47,2015
6eln,6.05,2018
4q81,3.02,2015
1ony,6.77,2003
5ikb,8.72,2016
4yrd,4.57,2015
4k7n,3.48,2014
4w9p,7.8,2014
5wbm,4.7,2017
5nzf,4.03,2018
3bex,5.57,2008
5t7s,4.1,2017
4wkn,9.72,2015
3cd7,7.84,2008
3mhw,2.3,2010
1m1b,4.66,2002
6eog,5.8,2018
5nxw,7.24,2018
3dd8,7.85,2008
5ia0,6.73,2016
1kuk,3.91,2002
5o58,6.72,2017
3qfz,3.24,2011
6fnf,7.89,2018
2pql,7.28,2007
2vo4,4.94,2008
4b5t,3.33,2012
4w9j,6.23,2014
6md8,2.38,2019
6cvv,4.12,2018
2bet,2.77,2004
4h75,6.6,2012
2pv1,7.14,2007
3f16,8.23,2008
6g3a,8.38,2018
6c2r,9.1,2019
3k8c,2.92,2010
1ft7,5.18,2000
4fl2,3.66,2012
1h0a,5.44,2002
6epy,6.46,2018
6p5o,4.54,2019
4q4s,6.95,2014
1ikt,3.4,2001
1ypj,7.02,2006
2gvv,3.9,2006
3o5n,4.76,2011
4n6z,7.8,2013
4o0y,7.22,2014
187l,3.37,1995
3l4y,7.0,2010
6hgs,3.77,2019
4zls,9.09,2015
5zni,4.39,2019
1g46,8.8,2000
1y6q,11.7,2005
2jds,8.2,2007
4ceb,2.97,2013
5d3x,6.36,2016
1c5p,4.68,2000
1nhu,5.66,2003
1xjd,9.48,2004
2qdt,5.19,2007
1odi,4.21,2003
5mks,4.77,2017
5m23,8.9,2017
3gss,5.82,1997
1kjr,6.06,2005
3kmc,6.4,2009
1r0p,8.0,2003
1w5v,8.15,2004
6gj6,4.7,2019
1q65,5.46,2004
4lxd,7.23,2013
5fl5,8.19,2015
1sqo,7.46,2004
1zge,7.3,2006
4mrw,3.3,2014
6ppy,4.44,2019
6glb,6.89,2018
1hyo,4.07,2001
3sfg,6.06,2012
4j45,5.77,2013
3m3x,6.82,2010
5kej,5.11,2017
2qrl,4.0,2007
1m5w,4.27,2003
4qj0,7.32,2015
2fgu,9.18,2006
6gjl,3.86,2018
5bry,11.82,2015
6mli,2.43,2019
4g4p,6.89,2013
2q55,8.69,2007
1gnn,5.68,1996
6ajy,5.28,2019
5flq,2.97,2016
6o0k,10.74,2019
4bck,8.4,2013
2b4l,4.77,2006
3zyu,7.0,2011
6qr2,5.49,2019
5ivv,6.35,2016
4qyy,7.3,2014
3m67,6.74,2010
5nn6,5.52,2017
5oxk,2.17,2018
6dj7,8.72,2018
4o9w,7.16,2014
4bs0,5.7,2013
3rz0,7.55,2011
4mn3,5.75,2014
1yc4,6.55,2005
4zek,5.66,2015
3gtc,2.35,2009
2bok,6.55,2005
5en3,6.21,2016
6ql2,7.77,2019
3kyq,4.22,2010
3kmy,4.49,2010
5j7q,4.58,2016
3fj7,3.71,2009
4cwt,6.75,2014
5h1u,3.51,2017
1afk,6.62,1998
3bxf,5.54,2008
3f37,2.62,2009
4phu,7.92,2014
3iw5,6.08,2009
3mdz,9.1,2010
5epl,7.03,2015
3i3b,2.23,2010
6n7b,9.22,2019
5jox,4.46,2016
2zdm,6.41,2008
6d2o,5.3,2018
4ahr,2.19,2012
2wzf,7.0,2009
3fvk,8.82,2010
3fvh,6.35,2009
1f0s,7.74,2000
6eij,5.77,2018
4agl,3.65,2012
2j7e,7.32,2006
4cpr,7.46,2014
4u70,5.02,2015
6iht,5.21,2019
1c5y,4.2,2000
1f8b,5.4,2001
1dgm,5.05,2000
1m7y,10.96,2002
5ut6,4.24,2017
3hkn,5.35,2009
4gny,4.22,2013
1r1h,8.92,2004
4cd5,6.71,2014
5lyn,5.04,2017
5ipj,8.89,2016
3i6o,10.35,2009
5n17,5.32,2017
5t9w,5.59,2017
6eiz,6.22,2018
4dsy,4.43,2012
2xj2,7.18,2011
1atl,6.28,1995
2vqt,6.0,2008
4f0c,6.27,2013
5ivy,6.44,2016
5ka1,4.48,2017
1nq7,6.8,2003
4ij1,5.4,2013
6gga,4.85,2019
6c7x,7.19,2018
5i3x,8.1,2016
2y81,8.7,2011
5cso,6.03,2015
4lvt,10.36,2013
1vfn,5.6,1997
4b6o,7.0,2012
4a95,5.76,2012
4ad2,6.2,2012
5j2x,7.74,2017
1phw,3.3,2004
6jtc,5.07,2019
3f7g,7.37,2009
2jh6,7.77,2007
1lcp,6.64,1995
1h1s,8.22,2002
1pbq,6.27,2003
5gj9,4.99,2017
6cdl,10.92,2018
4erf,9.4,2012
1gx8,6.37,2002
3hzk,6.7,2010
1fkb,9.7,1993
1c5t,4.1,2000
4hwo,8.54,2013
4u6w,4.21,2015
6b97,6.63,2017
3gbe,5.0,2009
1lyb,11.42,1994
3bl0,6.92,2008
5el9,7.64,2016
2euk,6.6,2006
1ugx,5.91,2003
2zmm,7.6,2008
1g54,8.82,2000
2xde,5.47,2010
2pyy,4.6,2008
5t9z,7.19,2017
6pgb,4.6,2019
4i7l,3.99,2013
4zbi,6.51,2015
4q3u,6.44,2014
1g32,6.11,2001
1q5k,7.42,2004
5fnu,8.89,2016
2ccc,7.76,2006
6n3w,5.81,2019
1yfz,4.35,2005
1o2q,7.68,2003
5mkr,4.77,2017
6q4g,4.3,2019
1ql7,5.0,2000
4jyc,6.7,2013
4luz,4.7,2013
2bt9,6.19,2005
2xc4,8.05,2010
3vx3,7.82,2013
5vc3,7.11,2017
3lp7,5.44,2010
3bkk,6.08,2008
5cap,7.28,2015
2ax9,9.52,2005
4w9o,7.77,2014
2f94,6.71,2006
5mjn,8.54,2017
1bnv,8.77,1999
5j6n,7.77,2017
6csp,8.52,2018
3zv7,5.92,2012
4d7b,7.68,2016
3qkd,8.38,2011
4zzx,6.9,2015
1m7i,5.4,2003
10gs,6.4,1998
6hay,7.01,2019
1msn,9.09,2003
3nsn,7.19,2010
6f3b,6.56,2018
4ad6,4.78,2013
5ix0,6.28,2016
1gar,10.0,1995
3eqr,8.7,2008
2pvj,8.1,2008
6j3o,5.62,2019
4igt,7.89,2013
5ltn,5.27,2017
1ghz,4.8,2002
5win,7.03,2018
4r4t,6.26,2014
5oh2,4.24,2018
5fl6,7.36,2015
2q54,9.01,2007
3isj,3.68,2009
4l2l,5.7,2014
1k1l,6.9,2001
2x7t,6.63,2010
2vwc,6.62,2008
6g14,5.49,2018
4yxi,6.5,2016
2zym,6.14,2009
1mai,6.68,1996
3k00,5.77,2010
5nee,10.7,2017
1jak,5.57,2001
6j7e,5.04,2019
7upj,8.49,1997
4keq,3.82,2014
3f70,4.85,2009
4jkw,4.16,2013
2x97,5.66,2010
4y59,5.24,2015
2clh,4.06,2007
3pe1,9.65,2011
5jxn,6.41,2016
5ivc,5.92,2016
4wrb,6.19,2015
4u6z,5.41,2015
2pwc,6.57,2008
4oc1,6.6,2014
1qin,8.0,1999
6i17,6.6,2019
4r75,7.24,2015
4lps,5.74,2013
1ec9,3.1,2000
3uil,6.0,2012
4app,7.19,2012
2drc,9.89,1994
5oot,7.55,2017
3sur,4.15,2012
4ufk,3.89,2015
2wkz,8.77,2009
4bcm,6.91,2013
3i60,8.7,2010
5tt3,6.71,2017
1b05,7.12,1998
6oqd,9.85,2019
1zoh,7.0,2005
1add,6.74,1994
3ocz,7.46,2011
6hly,7.33,2018
1drv,6.54,1997
4zei,5.88,2015
1n3i,8.89,2003
2r2w,4.47,2007
4ghi,7.09,2013
5e6o,4.11,2016
1ebw,9.05,2002
2xda,6.22,2010
2pu1,5.85,2007
3ljz,8.14,2011
4qxo,5.51,2014
2am4,3.72,2006
4or6,5.31,2015
1kel,7.28,1996
3s0e,6.55,2011
1w9v,6.34,2005
4dhl,4.48,2012
1c88,5.29,2000
2hhn,7.49,2007
4pp3,7.82,2014
2avo,8.85,2006
6cbf,5.17,2018
1det,4.3,1996
1f0t,6.0,2000
5fsy,5.89,2016
5his,4.71,2016
4xy8,6.4,2015
2zn7,7.89,2008
6s56,5.1,2019
2z1w,4.08,2007
6n8x,5.7,2019
5i3v,7.8,2016
3ccz,7.29,2008
4kyh,5.92,2013
3ekt,10.59,2009
4pox,5.43,2014
4rqk,5.82,2014
5dex,7.65,2016
5kva,5.14,2016
1v2r,3.55,2004
6k3l,7.22,2019
1okl,6.03,1997
4ykk,2.77,2015
3b3w,4.19,2007
3n7o,7.14,2010
6dyw,10.44,2019
3zll,6.4,2013
6fba,4.7,2018
1pzi,4.22,2004
4dfg,11.74,2012
4bc5,4.6,2012
2xn3,5.92,2011
2wc4,5.29,2009
1qb9,7.44,2000
4q1y,10.35,2015
3mho,6.49,2010
2rke,4.08,2008
6d1b,3.91,2019
5oh7,4.37,2018
2p3b,8.48,2007
1b52,7.12,1999
6fe0,6.48,2018
2jkp,4.23,2008
4y2q,2.92,2015
5vcw,5.96,2017
1bxr,3.4,1999
4lj8,5.82,2014
4uoh,4.77,2014
4r73,7.64,2015
2xm2,4.62,2011
2xej,8.87,2010
5nkh,7.59,2017
4pp0,4.4,2014
1sh9,6.03,2004
6ios,4.1,2019
1qb1,6.77,2000
3mz6,7.2,2010
3ppp,5.22,2011
2ri9,3.22,2008
2fmb,8.7,1999
6pgc,5.35,2019
2gyi,7.0,1995
5o1h,4.85,2018
2zc9,6.74,2008
3d51,4.15,2008
6orr,9.3,2019
2vwl,7.02,2009
2vsl,8.4,2008
4qsv,2.0,2014
5ufs,8.49,2017
5hz9,7.03,2016
4e6d,8.92,2012
4jn2,11.68,2013
4z1e,8.24,2015
2v57,7.1,2009
4l9i,4.89,2014
4uj1,6.52,2016
6got,9.4,2018
5wbo,4.21,2017
6d17,4.82,2019
3ekr,7.52,2008
1pfu,2.72,2004
4o3f,5.56,2014
5cs6,3.2,2016
1d3d,9.09,2000
4i8w,10.9,2013
5u0y,6.08,2017
5ouh,5.67,2017
4r5a,8.7,2014
6bs3,5.82,2019
5kab,4.68,2017
6dpz,3.59,2018
5nxo,8.31,2018
5vb5,6.46,2017
3nee,5.34,2010
4aqh,6.54,2012
4kow,4.31,2013
5anu,9.4,2016
4c9x,7.32,2014
4g8y,4.59,2012
3uw5,7.85,2012
3r4p,7.96,2011
4ish,8.72,2013
1xq0,6.34,2005
6cjr,9.52,2019
5btx,3.55,2015
5lsg,5.4,2017
4dbm,7.62,2012
5eng,5.85,2016
1k4h,5.11,2002
2pyn,7.57,2008
2zft,6.52,2009
1lkl,5.81,1996
3dyo,2.3,2008
2g94,9.52,2006
4q9o,5.77,2014
3kgu,5.92,2010
1hps,9.22,1994
4lov,7.77,2014
1mfa,5.04,1994
5v7a,6.38,2017
5h1t,3.8,2017
1tng,2.93,1994
5m17,3.66,2017
6szp,4.74,2019
3ekv,9.41,2009
6p86,4.7,2019
5i9y,8.55,2016
4qew,7.07,2014
6arn,5.19,2018
1zhy,6.52,2005
1o3i,7.3,2003
4hdf,8.49,2013
5v0n,7.17,2017
2oym,5.0,2007
1kv5,4.22,2002
3ldq,5.36,2011
6r1a,4.35,2019
3vw2,4.75,2013
2hnx,7.08,2006
4gr3,7.81,2013
3h78,4.24,2009
5mro,5.7,2017
4zow,4.12,2015
6c9s,7.32,2019
3hkq,5.34,2009
5xva,7.29,2018
1e1v,4.92,2001
3vf5,9.34,2012
5ad1,7.24,2016
5g60,6.52,2017
1apv,9.0,1994
1w3k,4.3,2004
5jfp,9.32,2016
1ghy,8.1,2002
3cyz,7.22,2009
5nzn,3.66,2018
4gu9,4.37,2013
5fov,2.8,2016
3p17,4.48,2011
3owj,6.07,2010
6elp,6.63,2018
6i5g,4.89,2019
4cl6,5.39,2015
4r3w,3.0,2014
6c7w,5.47,2018
2jiw,4.59,2007
3uod,7.31,2012
3td4,5.66,2011
4qev,7.66,2014
2b9a,8.05,2005
1njs,7.82,2003
6d1g,4.47,2019
1oif,7.72,2003
3veh,4.96,2012
4ymg,4.68,2015
1lgw,4.0,2002
5upf,8.6,2017
3tu7,8.09,2011
6mnc,5.8,2019
1lvu,5.32,2003
5tp0,5.44,2017
1px4,3.23,2004
4muv,5.76,2014
2v88,4.09,2007
1igj,10.0,1993
2f7i,7.1,2005
2r5a,2.6,2007
5n1s,7.99,2017
6j9y,5.07,2019
3v5t,8.22,2012
3rz7,8.96,2011
5d3t,4.92,2016
6b5q,8.24,2018
1ajx,7.91,1997
3sm2,9.7,2011
1ogg,5.19,2004
6e5t,6.55,2019
5er2,6.57,1991
4djr,11.52,2012
3o99,10.82,2011
1pme,9.4,1999
1t4v,7.68,2005
1rd4,7.74,2004
3zcl,8.0,2013
4iic,4.85,2013
2fqy,6.57,2006
3aid,6.86,1997
3e3c,5.62,2009
1g52,9.54,2000
3wvm,5.71,2015
6k04,8.04,2019
5hwu,5.27,2016
5ma7,3.47,2017
1v2t,4.71,2004
3rdo,9.85,2011
1y3v,5.64,2005
1lrh,6.82,2002
1lf2,7.52,2002
5cy9,6.66,2016
4de0,5.89,2012
1yq7,7.09,2005
6jon,4.88,2019
6fa4,7.29,2018
4ban,8.61,2013
6eiq,6.42,2018
5twj,5.25,2017
1o7o,4.49,2003
6iez,6.52,2019
1eoc,6.05,2000
4pin,5.4,2014
5zkc,8.19,2018
6dyr,3.66,2019
6i62,6.8,2019
6t1i,5.26,2019
2x4z,8.57,2010
4zzy,5.6,2015
2xjg,7.82,2010
2vj8,8.7,2008
2qbw,7.25,2008
1xpz,7.08,2005
5efc,4.85,2015
3ml5,8.52,2011
4rd0,6.62,2015
6j0o,4.92,2019
3t0x,8.0,2012
1m2x,4.15,2003
6i11,4.53,2019
6ckw,9.08,2018
6j72,6.13,2019
1hvk,10.96,1994
3bfu,6.27,2008
4ryd,11.26,2015
4pum,6.73,2014
1izh,7.7,2002
4csd,5.91,2014
1c5c,6.96,2000
5ihh,6.41,2016
3iss,6.05,2009
1c5s,6.0,2000
2qbs,6.68,2008
3pe2,9.76,2011
6gl9,6.87,2018
1dqn,8.0,2000
4cpw,7.5,2014
6en5,7.94,2017
4cjp,3.32,2014
1b6l,8.3,2000
3bxe,5.48,2008
1dud,4.82,1996
5fox,3.17,2016
5jgi,4.3,2017
5f8y,4.24,2016
1ctt,4.52,1995
1iy7,6.19,2003
2v54,4.6,2008
4x5z,7.63,2015
3uu1,5.2,2012
4cjq,3.59,2014
6h1u,5.32,2018
1pb9,3.62,2003
5vc4,7.36,2017
4zzz,7.06,2015
2doo,7.17,2006
1fpc,7.0,1995
2qi4,10.44,2008
1b6h,7.82,1998
3s45,8.49,2012
3hl5,4.47,2009
4u8w,11.24,2014
1z71,9.18,2005
1mfi,5.59,1999
1mrn,4.52,2003
4q99,6.28,2015
1o3d,7.13,2003
2r59,8.19,2008
6q3q,4.45,2018
6o5u,4.38,2019
4a4q,9.4,2012
2a14,5.7,2005
1mrx,7.26,2003
6rfw,6.5,2019
4lkk,5.92,2013
3ttp,9.12,2012
1vyf,8.05,2004
2qg2,5.4,2008
6fo5,6.72,2018
5eu1,7.81,2016
2h21,6.54,2006
1srg,5.3,1994
6hm1,6.04,2019
4jz1,6.7,2014
1v2o,4.73,2004
5h8e,11.2,2016
3pgl,5.3,2011
3rz8,8.17,2011
4ezr,5.2,2013
4trc,4.52,2014
4b7j,7.95,2012
4cd0,9.7,2014
6ezq,4.66,2017
3a1e,2.66,2009
2y7i,5.54,2011
6gnr,5.44,2018
5orh,4.39,2018
1iiq,7.48,2002
3f19,7.19,2008
3rf4,6.25,2011
4k7i,2.82,2014
4e70,5.28,2013
4hy1,8.7,2013
2o4r,9.4,2007
2jh0,8.7,2007
4hzm,4.63,2013
5exm,8.2,2016
3uxk,4.93,2012
6nv9,8.19,2019
6oqc,10.4,2019
1jn4,4.95,2003
5lny,7.38,2017
2vnp,9.92,2008
2vrj,6.3,2008
2byr,8.55,2005
5x74,8.64,2017
3ppm,9.54,2011
1zea,5.22,2006
1bnw,9.08,1999
4q3t,6.48,2014
5km9,4.25,2017
3sue,9.08,2012
4o0x,7.17,2014
2xd9,6.46,2010
2jg0,7.82,2007
1o5a,6.42,2004
3vd9,4.0,2012
4rra,4.87,2015
4abf,4.62,2012
2cn0,7.66,2006
6ajv,5.04,2019
2r43,6.0,2008
1odj,4.1,2003
3oaf,8.8,2011
1r1j,8.64,2004
1qbn,5.85,2000
3gi6,11.22,2010
4xya,5.86,2015
5m28,4.32,2017
6qlr,4.82,2019
1k6t,7.62,2002
4kx8,7.13,2013
2buv,4.0,2006
5xg5,3.48,2017
1f0u,7.16,2000
2w5g,6.07,2009
1bv7,10.3,1998
5op5,6.67,2017
4ymh,6.46,2015
4der,6.31,2012
3qgw,5.89,2011
3dp4,7.37,2008
1o1s,7.31,2003
6mln,7.54,2019
2gsu,3.59,2006
1b3g,6.7,1998
1v0l,7.55,2004
1bjv,5.54,1998
2h4k,5.49,2006
1k27,9.0,2003
5uff,4.24,2017
2ot1,4.0,2007
4xtw,9.03,2015
3jrx,9.0,2010
4az5,5.99,2013
3k8o,11.07,2010
4pee,8.32,2014
4qll,3.38,2015
4gqr,3.96,2012
3n9r,7.15,2010
3ozr,5.15,2011
1sb1,6.89,2004
2hl4,7.64,2007
6qr0,6.92,2019
2p95,9.37,2007
4m13,6.7,2014
6e1z,3.82,2019
6sbt,6.78,2019
3t84,6.97,2011
1z9y,7.19,2006
4ha5,7.24,2012
5e1s,7.92,2015
6fni,8.22,2018
2fx6,3.7,2006
4q08,6.3,2015
5aol,2.32,2015
5sym,6.55,2016
2ydt,5.52,2011
5yum,3.65,2018
6e1y,7.66,2019
2rfh,6.82,2008
1b6k,8.74,2000
4ruy,7.89,2015
4y79,7.96,2015
4ygf,7.68,2015
5dhu,6.3,2016
1o0f,5.3,2003
1g3e,5.38,2001
6qmj,7.36,2019
1sgu,5.37,2004
3g19,6.67,2009
6np4,4.44,2019
5llh,10.17,2017
3k1j,6.4,2010
1jaq,4.48,1996
6qz5,6.08,2019
3o75,6.68,2011
2w67,4.96,2009
5mek,5.38,2017
5dlx,5.7,2016
4h81,5.12,2013
6ckr,7.3,2018
6hzy,3.92,2019
5dgw,11.05,2015
6cpw,8.25,2018
1oss,4.79,2003
4b74,7.66,2012
6gnw,4.99,2018
8cpa,9.15,1994
1dl7,6.49,2000
4us3,5.32,2014
6mj4,7.72,2019
5qtt,8.47,2019
4del,7.68,2013
3gx0,3.48,2009
5d21,8.38,2015
6c0s,7.05,2018
2za5,8.43,2008
4ra1,5.94,2015
3ipu,7.32,2010
2wzs,3.85,2009
1hpx,11.26,1996
1v2n,5.9,2004
5fut,6.45,2016
4b9k,6.17,2012
1aj7,3.87,1997
4i7m,4.14,2013
1ezq,9.05,2000
1d3p,7.39,2000
1qan,4.48,2000
2pvm,6.44,2008
6a87,3.15,2019
6hlx,7.17,2018
6ugn,6.12,2019
5j1r,4.66,2017
4ts1,4.94,1989
5fog,3.67,2016
3kmx,4.82,2010
2pwd,4.4,2007
5fe6,2.16,2016
6d5j,6.34,2018
1wcq,6.26,2005
1tx7,4.6,2005
4nku,4.67,2013
2qrk,4.26,2007
4zv2,2.93,2016
4nwc,5.76,2014
4c1y,3.6,2014
2vh6,9.7,2008
6g0z,5.32,2018
6mub,7.0,2018
3pcn,3.66,1998
1grp,3.72,1996
2vxn,5.0,2009
4iwz,7.29,2013
2qg0,5.72,2008
5dx4,6.86,2016
4j93,4.7,2013
1amk,4.3,1997
6h2z,9.3,2018
2hxm,5.22,2006
5oh4,4.55,2018
2x6x,3.68,2011
1d4y,11.1,1999
4ahs,2.19,2012
3f5k,4.62,2009
6mh1,5.92,2019
3qqa,5.82,2011
2pqc,5.74,2008
5hct,7.6,2016
1siv,8.08,1994
1i37,9.57,2001
4zwz,8.7,2015
4bi6,3.95,2013
5hrx,5.29,2016
6gwe,7.38,2019
6ghj,2.16,2018
1qy1,6.52,2004
1hee,5.34,2001
6i8y,6.74,2018
5gsa,7.09,2017
4nkt,5.97,2013
5fcz,4.2,2016
6pg9,4.92,2019
3gy7,4.52,2010
5sz1,8.92,2016
5izf,9.74,2016
4cpz,7.68,2014
4nue,6.82,2014
5otc,4.71,2017
1enu,5.08,2000
3djk,10.59,2008
4uof,4.84,2014
1pa9,4.6,2003
2a5c,4.62,2006
5z66,6.69,2019
1bai,7.7,1999
3sv2,4.19,2012
3bkl,6.17,2008
3ru1,4.85,2011
5eh8,3.1,2016
4dcs,5.1,2012
1rp7,8.52,2004
5kma,4.71,2017
1a9q,6.17,1998
3ebo,4.72,2009
3b24,4.38,2011
1lst,7.85,1994
2bfr,5.25,2004
1fq5,8.4,2000
6htg,7.17,2018
5o1d,4.66,2018
2uwd,8.35,2007
3q6z,3.72,2011
5ijr,3.2,2017
2rcn,6.0,2008
2ovy,8.4,2007
1ogz,5.85,2003
6mji,7.29,2019
1g98,5.7,2001
1b8y,7.85,1999
4g0y,2.3,2012
3f8e,7.23,2009
1nfw,8.96,2003
5mod,3.52,2017
1mue,8.64,2004
3suv,4.55,2012
5nkg,7.68,2017
6g39,8.34,2018
3h89,7.64,2009
3qox,6.57,2011
5eei,9.22,2016
4kax,4.77,2013
3ucj,6.0,2011
5dyo,10.21,2016
3tf6,6.4,2011
2mas,7.52,1997
4hf4,8.62,2012
4kqp,6.05,2013
4j46,5.28,2013
1pvn,9.82,2003
5om2,4.06,2018
6d9x,3.49,2018
6i8m,7.8,2019
3vhd,9.28,2012
3gcu,6.78,2009
1o0m,5.15,2003
5ey4,3.12,2016
3v4t,4.11,2012
4k6i,6.2,2013
2ydw,7.34,2011
5x62,6.42,2017
